produto;quantidade;preco_unitario
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Headset Gamer;12;349.90
Mousepad XL;30;85.00
Adaptador Wi-Fi;20;65.00
Cabo HDMI 2m;50;35.00
Suporte Monitor;8;180.00
Cadeira Office;5;1200.00
SSD 480GB;18;299.00
Memória RAM 8GB;22;210.00
Cooler Fan 120mm;45;45.00
Pasta Térmica;15;32.00
Gabinete ATX;7;450.00
Fonte 500W;10;380.00
Microfone Condensador;6;520.00
Filtro de Linha;25;55.00
Roteador Gigabit;12;280.00
Switch 8 Portas;4;150.00
Cabo Ethernet 5m;35;25.00
HD Externo 1TB;9;390.00
Pendrive 64GB;60;45.00
Carregador Notebook;11;140.00
Bateria CMOS;100;5.00
Caixa de Som 2.0;14;110.00
Placa de Vídeo GTX;3;1850.00
Processador i5;5;1100.00
Placa-Mãe B450;6;750.00
Webcam 4K;4;890.00
Hub USB 3.0;18;75.00
Teclado Mecânico;10;420.00
Mouse Vertical;7;195.00
Limpador de Telas;22;18.00
Organizador de Cabos;40;12.00
Suporte para Headset;15;55.00
Luminária de Monitor;8;230.00
Impressora Jato;3;650.00
Cartucho Preto;20;95.00
Cartucho Colorido;15;115.00
Scanner Portátil;2;480.00
Mesa Digitalizadora;5;390.00
Joystick Bluetooth;12;240.00
Cabo DisplayPort;20;60.00
Dongle Bluetooth;30;35.00
Cooler para Notebook;10;130.00
Mochila Notebook;15;180.00
Protetor de Teclado;25;22.00
Adaptador USB-C;18;85.00
Extensor USB 3m;12;40.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Headset Gamer;12;349.90
Mousepad XL;30;85.00
Adaptador Wi-Fi;20;65.00
Cabo HDMI 2m;50;35.00
Suporte Monitor;8;180.00
Cadeira Office;5;1200.00
SSD 480GB;18;299.00
Memória RAM 8GB;22;210.00
Cooler Fan 120mm;45;45.00
Pasta Térmica;15;32.00
Gabinete ATX;7;450.00
Fonte 500W;10;380.00
Microfone Condensador;6;520.00
Filtro de Linha;25;55.00
Roteador Gigabit;12;280.00
Switch 8 Portas;4;150.00
Cabo Ethernet 5m;35;25.00
HD Externo 1TB;9;390.00
Pendrive 64GB;60;45.00
Carregador Notebook;11;140.00
Bateria CMOS;100;5.00
Caixa de Som 2.0;14;110.00
Placa de Vídeo GTX;3;1850.00
Processador i5;5;1100.00
Placa-Mãe B450;6;750.00
Webcam 4K;4;890.00
Hub USB 3.0;18;75.00
Teclado Mecânico;10;420.00
Mouse Vertical;7;195.00
Limpador de Telas;22;18.00
Organizador de Cabos;40;12.00
Suporte para Headset;15;55.00
Luminária de Monitor;8;230.00
Impressora Jato;3;650.00
Cartucho Preto;20;95.00
Cartucho Colorido;15;115.00
Scanner Portátil;2;480.00
Mesa Digitalizadora;5;390.00
Joystick Bluetooth;12;240.00
Cabo DisplayPort;20;60.00
Dongle Bluetooth;30;35.00
Cooler para Notebook;10;130.00
Mochila Notebook;15;180.00
Protetor de Teclado;25;22.00
Adaptador USB-C;18;85.00
Extensor USB 3m;12;40.00
